,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,27.Mar 2020 09:19:10,ruicheng,51.75,43.95,68.73,1.2776,371.05,30000,0,Close,True
1,27.Mar 2020 09:20:28,ruicheng,51.8,44.2,68.85,1.2764,371.05,30000,0,Close,True
2,27.Mar 2020 09:21:44,ruicheng,51.9,44.31,68.67,1.2722,374.69,30000,0,Close,True
3,27.Mar 2020 09:23:04,ruicheng,52.0,44.4,68.78,1.2719,374.69,30000,0,Close,True
4,27.Mar 2020 09:24:20,ruicheng,52.07,44.45,69.05,1.2742,374.69,30000,0,Close,True
5,27.Mar 2020 09:25:35,ruicheng,52.26,44.57,69.1,1.272,374.69,30000,0,Close,True
6,27.Mar 2020 09:26:51,ruicheng,52.25,44.56,69.1,1.2722,372.88,30000,0,Close,True
7,27.Mar 2020 09:28:07,ruicheng,52.11,44.4,69.1,1.2749,372.88,30000,0,Close,True
8,27.Mar 2020 09:29:24,ruicheng,52.1,44.4,69.1,1.275,372.88,30000,0,Close,True
9,27.Mar 2020 09:30:39,ruicheng,52.0,44.35,69.1,1.2764,381.53,30000,0,Close,True
10,27.Mar 2020 09:31:56,ruicheng,51.8,44.1,69.1,1.2805,377.33,30000,0,Close,True
11,27.Mar 2020 09:33:12,ruicheng,51.5,43.95,69.1,1.2848,376.08,30000,0,Close,True
12,27.Mar 2020 09:34:28,ruicheng,51.2,43.82,69.1,1.2889,368.25,30000,0,Close,True
13,27.Mar 2020 09:35:44,ruicheng,51.2,43.8,69.1,1.289,365.03,30000,0,Close,True
14,27.Mar 2020 09:37:01,ruicheng,51.15,44.4,69.1,1.2842,355.95,30000,0,Close,True
15,27.Mar 2020 09:38:18,ruicheng,51.03,43.7,69.1,1.2916,359.21,30000,0,Close,True
16,27.Mar 2020 09:39:33,ruicheng,51.23,43.8,69.1,1.2887,369.29,30000,0,Close,True
17,27.Mar 2020 09:40:49,ruicheng,51.2,43.82,69.1,1.2889,368.52,30000,0,Close,True
18,27.Mar 2020 09:42:06,ruicheng,51.4,44.15,67.23,1.2598,371.77,30000,0,Close,True
19,27.Mar 2020 09:43:22,ruicheng,51.3,44.0,67.13,1.2607,375.57,30000,0,Close,True
20,27.Mar 2020 09:44:37,ruicheng,50.7,43.35,66.52,1.2643,372.42,30000,0,Close,True
21,27.Mar 2020 09:45:53,ruicheng,50.5,42.95,66.48,1.2693,374.1,30000,0,Close,True
22,27.Mar 2020 09:47:08,ruicheng,50.0,42.45,65.55,1.2664,375.0,30000,0,Close,True
23,27.Mar 2020 09:48:24,ruicheng,49.9,42.6,65.45,1.2646,374.98,30000,0,Close,True
24,27.Mar 2020 09:49:39,ruicheng,50.6,42.95,65.77,1.259,376.57,30000,0,Close,True
25,27.Mar 2020 09:50:56,ruicheng,50.65,43.15,66.32,1.2639,376.0,30000,0,Close,True
26,27.Mar 2020 09:52:12,ruicheng,51.0,43.5,66.76,1.2632,376.0,30000,0,Close,True
27,27.Mar 2020 09:53:29,ruicheng,51.15,43.6,67.18,1.2664,368.85,30000,0,Close,True
28,27.Mar 2020 09:54:45,ruicheng,51.05,43.39,67.35,1.2714,371.55,30000,0,Close,True
29,27.Mar 2020 09:56:01,ruicheng,51.1,43.62,67.3,1.2682,372.62,30000,0,Close,True
30,27.Mar 2020 09:57:16,ruicheng,51.15,43.7,67.37,1.2679,370.0,30000,0,Close,True
31,27.Mar 2020 09:58:33,ruicheng,51.5,43.75,67.67,1.2681,370.0,30000,0,Close,True
32,27.Mar 2020 09:59:49,ruicheng,51.6,43.8,67.42,1.2635,368.0,30000,0,Close,True
33,27.Mar 2020 10:01:05,ruicheng,51.26,43.55,66.72,1.2598,370.41,30000,0,Close,True
34,27.Mar 2020 10:02:25,ruicheng,51.1,43.25,66.24,1.2578,370.33,30000,0,Close,True
35,27.Mar 2020 10:03:41,ruicheng,51.0,43.45,66.1,1.2551,369.01,30000,0,Close,True
36,27.Mar 2020 10:04:56,ruicheng,51.13,43.65,66.43,1.2564,372.0,30000,0,Close,True
37,27.Mar 2020 10:06:17,ruicheng,51.2,43.61,66.22,1.2534,368.7,30000,0,Close,True
38,27.Mar 2020 10:07:33,ruicheng,51.0,43.5,66.2,1.2559,369.99,30000,0,Close,True
39,27.Mar 2020 10:08:49,ruicheng,50.95,43.35,66.34,1.2596,368.13,30000,0,Close,True
40,27.Mar 2020 10:10:07,ruicheng,50.79,43.5,66.08,1.2563,362.9,30000,0,Close,True
41,27.Mar 2020 10:11:23,ruicheng,51.05,43.5,66.16,1.2549,364.47,30000,0,Close,True
42,27.Mar 2020 10:12:41,ruicheng,51.25,43.47,66.16,1.2534,365.23,30000,0,Close,True
43,27.Mar 2020 10:13:58,ruicheng,51.15,43.5,65.93,1.251,368.0,30000,0,Close,True
44,27.Mar 2020 10:15:16,ruicheng,51.1,43.45,65.89,1.2514,366.38,30000,0,Close,True
45,27.Mar 2020 10:16:33,ruicheng,50.95,43.45,65.65,1.2497,370.0,30000,0,Close,True
46,27.Mar 2020 10:17:50,ruicheng,50.9,43.35,65.44,1.2483,370.74,30000,0,Close,True
47,27.Mar 2020 10:19:06,ruicheng,50.9,43.15,65.23,1.2474,372.92,30000,0,Close,True
48,27.Mar 2020 10:20:23,ruicheng,50.5,42.92,64.51,1.2436,373.02,30000,0,Close,True
49,27.Mar 2020 10:21:40,ruicheng,50.3,43.05,64.52,1.2444,374.32,30000,0,Close,True
50,27.Mar 2020 10:22:55,ruicheng,50.6,43.35,64.78,1.2424,367.44,30000,0,Close,True
51,27.Mar 2020 10:24:12,ruicheng,50.85,43.35,64.79,1.2402,373.3,30000,0,Close,True
52,27.Mar 2020 10:25:28,ruicheng,50.7,43.2,64.83,1.2435,370.6,30000,0,Close,True
53,27.Mar 2020 10:26:46,ruicheng,51.17,43.45,65.43,1.2448,371.01,30000,0,Close,True
54,27.Mar 2020 10:28:03,ruicheng,51.2,43.63,65.42,1.2428,370.6,30000,0,Close,True
55,27.Mar 2020 10:29:18,ruicheng,51.25,43.67,65.87,1.2478,374.49,30000,0,Close,True
56,27.Mar 2020 10:30:34,ruicheng,51.2,43.6,65.84,1.2485,372.1,30000,0,Close,True
57,27.Mar 2020 10:31:53,ruicheng,51.05,43.6,65.81,1.2495,375.73,30000,0,Close,True
58,27.Mar 2020 10:33:10,ruicheng,51.0,43.5,65.38,1.2452,374.7,30000,0,Close,True
59,27.Mar 2020 10:34:27,ruicheng,51.15,43.55,65.72,1.2479,377.0,30000,0,Close,True
60,27.Mar 2020 10:35:45,ruicheng,51.07,43.64,65.5,1.2449,376.74,30000,0,Close,True
61,27.Mar 2020 10:37:00,ruicheng,51.05,43.69,65.32,1.2423,375.0,30000,0,Close,True
62,27.Mar 2020 10:38:17,ruicheng,51.15,43.62,65.43,1.2435,376.0,30000,0,Close,True
63,27.Mar 2020 10:39:33,ruicheng,51.3,43.8,65.73,1.2444,375.0,30000,0,Close,True
64,27.Mar 2020 10:40:48,ruicheng,51.3,43.83,65.69,1.2436,375.0,30000,0,Close,True
65,27.Mar 2020 10:42:03,ruicheng,51.4,43.9,65.86,1.2443,375.13,30000,0,Close,True
66,27.Mar 2020 10:43:20,ruicheng,51.25,43.86,65.96,1.2473,372.6,30000,0,Close,True
67,27.Mar 2020 10:44:35,ruicheng,51.55,43.95,65.97,1.2439,373.36,30000,0,Close,True
68,27.Mar 2020 10:45:51,ruicheng,51.4,43.85,65.87,1.2449,377.66,30000,0,Close,True
69,27.Mar 2020 10:47:09,ruicheng,51.3,43.81,65.84,1.2457,376.0,30000,0,Close,True
70,27.Mar 2020 10:48:29,ruicheng,51.5,43.92,65.97,1.2446,376.0,30000,0,Close,True
71,27.Mar 2020 10:49:45,ruicheng,51.25,43.85,65.51,1.2415,372.0,30000,0,Close,True
72,27.Mar 2020 10:51:01,ruicheng,51.3,43.9,65.62,1.2421,372.05,30000,0,Close,True
73,27.Mar 2020 10:52:17,ruicheng,51.3,43.86,65.63,1.2426,375.0,30000,0,Close,True
74,27.Mar 2020 10:53:35,ruicheng,51.2,43.85,65.26,1.2387,371.0,30000,0,Close,True
75,27.Mar 2020 10:54:52,ruicheng,51.45,43.9,65.31,1.2367,372.42,30000,0,Close,True
76,27.Mar 2020 10:56:08,ruicheng,51.55,43.95,65.67,1.24,372.28,30000,0,Close,True
77,27.Mar 2020 10:57:25,ruicheng,51.5,44.05,65.75,1.2406,375.5,30000,0,Close,True
78,27.Mar 2020 10:58:42,ruicheng,51.15,43.8,65.55,1.2434,374.5,30000,0,Close,True
79,27.Mar 2020 10:59:58,ruicheng,51.1,43.75,65.28,1.2408,373.5,30000,0,Close,True
80,27.Mar 2020 11:01:34,ruicheng,51.3,43.89,65.6,1.2419,373.5,30000,0,Close,True
81,27.Mar 2020 11:02:51,ruicheng,51.15,43.77,65.27,1.24,374.62,30000,0,Close,True
82,27.Mar 2020 11:04:11,ruicheng,51.15,43.7,65.19,1.2396,374.6,30000,0,Close,True
83,27.Mar 2020 11:05:27,ruicheng,51.15,43.75,65.09,1.2379,375.0,30000,0,Close,True
84,27.Mar 2020 11:06:44,ruicheng,51.2,43.9,65.2,1.2375,375.0,30000,0,Close,True
85,27.Mar 2020 11:08:08,ruicheng,51.37,43.95,65.46,1.2389,372.0,30000,0,Close,True
86,27.Mar 2020 11:09:30,ruicheng,51.2,43.75,65.04,1.2368,369.11,30000,0,Close,True
87,27.Mar 2020 11:10:48,ruicheng,51.15,43.75,64.94,1.2359,369.05,30000,0,Close,True
