,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,01.Jan 2020 08:04:47,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,True
1,01.Jan 2020 08:09:53,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
2,01.Jan 2020 08:14:57,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
3,01.Jan 2020 08:20:01,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
4,01.Jan 2020 08:25:05,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
5,01.Jan 2020 08:30:09,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
6,01.Jan 2020 08:35:13,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
7,01.Jan 2020 08:40:17,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
8,01.Jan 2020 08:45:21,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
9,01.Jan 2020 08:50:24,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
10,01.Jan 2020 08:55:29,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
11,01.Jan 2020 09:00:33,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
12,01.Jan 2020 09:05:37,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
13,01.Jan 2020 09:10:41,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
14,01.Jan 2020 09:15:45,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
15,01.Jan 2020 09:20:50,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
16,01.Jan 2020 09:25:55,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
17,01.Jan 2020 09:30:58,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
18,01.Jan 2020 09:36:02,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
19,01.Jan 2020 09:41:06,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
20,01.Jan 2020 09:46:10,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
21,01.Jan 2020 09:51:14,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
22,01.Jan 2020 09:56:18,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
23,01.Jan 2020 10:01:23,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
24,01.Jan 2020 10:06:27,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
25,01.Jan 2020 10:11:32,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
26,01.Jan 2020 10:16:36,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
27,01.Jan 2020 10:21:40,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
28,01.Jan 2020 10:26:44,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
29,01.Jan 2020 10:31:48,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
30,01.Jan 2020 10:36:52,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
31,01.Jan 2020 10:41:56,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
32,01.Jan 2020 10:47:00,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
33,01.Jan 2020 10:52:04,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
34,01.Jan 2020 10:57:08,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
35,01.Jan 2020 11:02:12,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
36,01.Jan 2020 11:07:16,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
37,01.Jan 2020 11:12:21,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
38,01.Jan 2020 11:17:24,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
39,01.Jan 2020 11:22:29,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
40,01.Jan 2020 11:27:33,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
41,01.Jan 2020 11:32:36,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
42,01.Jan 2020 11:37:40,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
43,01.Jan 2020 11:42:44,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
44,01.Jan 2020 11:47:48,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
45,01.Jan 2020 11:52:53,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
46,01.Jan 2020 11:57:57,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
47,01.Jan 2020 12:03:01,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
48,01.Jan 2020 12:08:05,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
49,01.Jan 2020 12:13:09,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
50,01.Jan 2020 12:18:13,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
51,01.Jan 2020 12:23:17,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
52,01.Jan 2020 12:28:22,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
53,01.Jan 2020 12:33:25,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
54,01.Jan 2020 12:38:30,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
55,01.Jan 2020 12:43:34,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
56,01.Jan 2020 12:48:37,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
57,01.Jan 2020 12:53:42,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
58,01.Jan 2020 12:58:46,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
59,01.Jan 2020 13:03:50,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
60,01.Jan 2020 13:09:01,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
61,01.Jan 2020 13:14:08,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
62,01.Jan 2020 13:19:12,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
63,01.Jan 2020 13:24:23,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
64,01.Jan 2020 13:29:32,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
65,01.Jan 2020 13:34:39,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
66,01.Jan 2020 13:39:49,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
67,01.Jan 2020 13:44:55,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
68,01.Jan 2020 13:50:03,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
69,01.Jan 2020 13:55:10,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
70,01.Jan 2020 14:00:14,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
71,01.Jan 2020 14:05:18,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
72,01.Jan 2020 14:10:21,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
73,01.Jan 2020 14:15:25,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
74,01.Jan 2020 14:20:29,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
75,01.Jan 2020 14:25:33,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
76,01.Jan 2020 14:30:37,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
77,01.Jan 2020 14:35:41,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
78,01.Jan 2020 14:40:45,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
79,01.Jan 2020 14:45:50,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
80,01.Jan 2020 14:50:54,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
81,01.Jan 2020 14:55:57,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
82,01.Jan 2020 15:01:01,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
83,01.Jan 2020 15:06:04,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
84,01.Jan 2020 15:11:08,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
85,01.Jan 2020 15:16:12,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
86,01.Jan 2020 15:21:16,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
87,01.Jan 2020 15:26:20,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
88,01.Jan 2020 15:31:24,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
89,01.Jan 2020 15:36:28,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
90,01.Jan 2020 15:41:31,tao,14.625,16.625,13.78,0.927,51.32,30000,-192.90724863600934,Open,False
